operation,key,value,response,duration,,,,,
DELETE,seed7Obae,,"[code=0, message=Delete Success]",25,,,,,
DELETE,eeghe2Ze,,"[code=0, message=Delete Success]",25,,,,,
DELETE,weevuon5G,,"[code=0, message=Delete Success]",24,,,,,
DELETE,aeVieGh8,,"[code=0, message=Delete Success]",26,,,,,
DELETE,ooZosh3d,,"[code=0, message=Delete Success]",23,,,,,
DELETE,weevuon5G,,"[code=8194, message=Key does not exist.]",24,,,Delete,Get,PUT
DELETE,0Ml,,"[code=0, message=Delete Success]",27,,Average Time,25.5,25.5,24
DELETE,hee0Woth,,"[code=0, message=Delete Success]",49,,Standard Deviation,0.707106781,2.121320344,1.414213562
DELETE,v9W,,"[code=0, message=Delete Success]",29,,,,,
DELETE,ahC4y,,"[code=0, message=Delete Success]",26,,,,,
GET,5dZ,,"[code=0, message=get success, value=xoor5Yoidujechiebe7w]",24,,,,,
GET,Oofe8aizi,,"[code=0, message=get success, value=9GyN]",27,,,,,
GET,OoFei2jao,,"[code=0, message=get success, value=95Zi]",28,,,,,
GET,v9W,,"[code=0, message=get success, value=Oe6goht5aihaikeeshie]",23,,,,,
GET,ahC4y,,"[code=0, message=get success, value=woh6ua7Aifeekeiroo7jiePaeLaic9aimoichaidue7AiPh]",28,,,,,
GET,Oofe8aizi,,"[code=0, message=get success, value=9GyN]",24,,,,,
GET,eeghe2Ze,,"[code=8194, message=Key does not exist.]",24,,,,,
GET,HUH4,,"[code=0, message=get success, value=ichah9eeYae2wai7hei]",25,,,,,
GET,iP7ri9al1,,"[code=0, message=get success, value=0nzV]",24,,,,,
GET,HUH4,,"[code=0, message=get success, value=ichah9eeYae2wai7hei]",28,,,,,
GET,Oofe8aizi,,"[code=0, message=get success, value=9GyN]",24,,,,,
GET,shaep6Hu,,"[code=0, message=get success, value=eb5axodau5aiCh7thi]",27,,,,,
GET,2F63,,"[code=0, message=get success, value=AeNga0oov0uuthoofit]",27,,,,,
GET,Mo6pi0Aig,,"[code=0, message=get success, value=Q3jZ]",19,,,,,
GET,8CX,,"[code=0, message=get success, value=eK8zae6LaeTh2Niijeih]",27,,,,,
GET,Ae8og,,"[code=0, message=get success, value=Thee1ohdie6ocaethi9epozobea3uo2zaerethae3iehube]",25,,,,,
GET,M6g,,"[code=0, message=get success, value=Uob5dahp3wo6xa9bah2h]",26,,,,,
GET,shaep6Hu,,"[code=0, message=get success, value=eb5axodau5aiCh7thi]",25,,,,,
GET,Oofe8aizi,,"[code=0, message=get success, value=9GyN]",19,,,,,
GET,iehooSu8,,"[code=0, message=get success, value=iefiuquieBohv1aolu]",24,,,,,
GET,AhCh8,,"[code=0, message=get success, value=aor2OYa4od9jaeph4eeGeexahng4Ha6hooboophi6ohnohw]",26,,,,,
GET,5dZ,,"[code=0, message=get success, value=xoor5Yoidujechiebe7w]",21,,,,,
GET,eeghe2Ze,,"[code=8194, message=Key does not exist.]",79,,,,,
GET,hee0Woth,,"[code=8194, message=Key does not exist.]",29,,,,,
GET,O48i,,"[code=0, message=get success, value=EXae4eeGethaipaosoo]",24,,,,,
GET,OoFei2jao,,"[code=0, message=get success, value=95Zi]",22,,,,,
GET,hee0Woth,,"[code=8194, message=Key does not exist.]",28,,,,,
GET,aiC3sahR,,"[code=0, message=get success, value=aeNg6Umiemi5ahhu9U]",29,,,,,
GET,shaep6Hu,,"[code=0, message=get success, value=eb5axodau5aiCh7thi]",23,,,,,
GET,ahC4y,,"[code=8194, message=Key does not exist.]",43,,,,,
GET,shaep6Hu,,"[code=0, message=get success, value=eb5axodau5aiCh7thi]",33,,,,,
GET,ooZosh3d,,"[code=8194, message=Key does not exist.]",21,,,,,
GET,OoFei2jao,,"[code=0, message=get success, value=95Zi]",26,,,,,
GET,weevuon5G,,"[code=8194, message=Key does not exist.]",27,,,,,
GET,Pai4s,,"[code=0, message=get success, value=ahP6teeJeik8iem3eew3vio7Quafahlo9eezo7aez7ti3ao]",31,,,,,
GET,YeeYeNoo4,,"[code=0, message=get success, value=rAi6]",32,,,,,
GET,AJ4,,"[code=0, message=get success, value=oonie5FuNg0oab9zahfe]",36,,,,,
GET,M6g,,"[code=0, message=get success, value=Uob5dahp3wo6xa9bah2h]",34,,,,,
GET,aeVieGh8,,"[code=8194, message=Key does not exist.]",42,,,,,
GET,iP7ri9al1,,"[code=0, message=get success, value=0nzV]",17,,,,,
GET,AhCh8,,"[code=0, message=get success, value=aor2OYa4od9jaeph4eeGeexahng4Ha6hooboophi6ohnohw]",25,,,,,
GET,HUH4,,"[code=0, message=get success, value=ichah9eeYae2wai7hei]",21,,,,,
GET,ahC4y,,"[code=8194, message=Key does not exist.]",24,,,,,
GET,eZia6rief,,"[code=0, message=get success, value=x9CE]",28,,,,,
GET,1VB,,"[code=0, message=get success, value=ahghukooy8ooYi7eeChe]",30,,,,,
GET,1VB,,"[code=0, message=get success, value=ahghukooy8ooYi7eeChe]",34,,,,,
GET,2F63,,"[code=0, message=get success, value=AeNga0oov0uuthoofit]",25,,,,,
