operation,key,value
PUT,city,county
PUT,New Orleans,Orleans
PUT,Brighton,Livingston
PUT,Bridgeport,Gloucester
PUT,Anchorage,Anchorage
PUT,Hamilton,Butler
PUT,Ashland,Ashland
PUT,Chicago,Cook
PUT,San Jose,Santa Clara
PUT,Sioux Falls,Minnehaha
PUT,Baltimore,Baltimore City
PUT,Kulpsville,Montgomery
PUT,Middle Island,Suffolk
PUT,Los Angeles,Los Angeles
PUT,Chagrin Falls,Geauga
PUT,Laredo,Webb
PUT,Phoenix,Maricopa
PUT,Mc Minnville,Warren
PUT,Milwaukee,Milwaukee
PUT,Taylor,Wayne
PUT,Rockford,Winnebago
PUT,Aston,Delaware
PUT,San Jose,Santa Clara
PUT,Irving,Dallas
PUT,Albany,Albany
PUT,Middlesex,Middlesex
PUT,Stevens Point,Portage
PUT,Shawnee,Johnson
PUT,Easton,Talbot
PUT,New York,New York
PUT,Conroe,Montgomery
PUT,Columbus,Franklin
PUT,Las Cruces,Dona Ana
PUT,Ridgefield Park,Bergen
PUT,Dunellen,Middlesex
PUT,New York,New York
PUT,Metairie,Jefferson
PUT,New York,New York
PUT,Camarillo,Ventura
PUT,San Antonio,Bexar
PUT,Abilene,Dickinson
PUT,Prineville,Crook
PUT,Overland Park,Johnson
PUT,Fairbanks,Fairbanks North Star
PUT,Miami,Miami-Dade
PUT,Fairbanks,Fairbanks North Star
PUT,Hopkins,Hennepin
PUT,Boston,Suffolk
PUT,Los Angeles,Los Angeles
PUT,Madison,Dane
GET,Prineville,
GET,Overland Park,
GET,Fairbanks,
GET,Miami,
GET,Fairbanks,
GET,Hopkins,
GET,Boston,
GET,Los Angeles,
GET,Madison,
DELETE,city,
DELETE,New Orleans,
DELETE,Brighton,
DELETE,Bridgeport,
DELETE,Anchorage,
DELETE,Hamilton,
DELETE,Ashland,
DELETE,Chicago,
DELETE,San Jose,
DELETE,Sioux Falls,
DELETE,Baltimore,
PUT,city,county
PUT,New Orleans,Orleans
PUT,Brighton,Livingston
PUT,Bridgeport,Gloucester
PUT,Anchorage,Anchorage
PUT,Hamilton,Butler
PUT,Ashland,Ashland
GET,Ridgefield Park,
GET,Dunellen,
GET,New York,
GET,Metairie,
GET,New York,
GET,Camarillo,
GET,San Antonio,
GET,Abilene,
GET,Prineville,
GET,Overland Park,
GET,Fairbanks,
DELETE,San Antonio,
DELETE,Abilene,
DELETE,Prineville,
DELETE,Overland Park,
DELETE,Fairbanks,
DELETE,Miami,
DELETE,Fairbanks,
DELETE,Hopkins,
DELETE,Boston,
PUT,Chicago,Cook
PUT,San Jose,Santa Clara
PUT,Sioux Falls,Minnehaha
PUT,Baltimore,Baltimore City
PUT,Kulpsville,Montgomery
PUT,Middle Island,Suffolk
GET,Los Angeles,
GET,Chagrin Falls,
GET,Laredo,
GET,Phoenix,
GET,Laredo,
GET,Phoenix,
GET,Mc Minnville,
GET,Milwaukee,
GET,Taylor,
PUT,San Antonio,Bexar
PUT,Abilene,Dickinson
PUT,Prineville,Crook
PUT,Overland Park,Johnson
PUT,Fairbanks,Fairbanks North Star
PUT,Miami,Miami-Dade
PUT,Fairbanks,Fairbanks North Star
PUT,Hopkins,Hennepin
PUT,Boston,Suffolk
PUT,Los Angeles,Los Angeles
PUT,Madison,Dane
GET,San Jose,
GET,Sioux Falls,
GET,Baltimore,
GET,Kulpsville,
GET,Middle Island,
GET,Los Angeles,
GET,Chagrin Falls,
GET,Laredo,
GET,Phoenix,
GET,Mc Minnville,
GET,Milwaukee,
DELETE,Taylor,
DELETE,Rockford,
DELETE,Aston,
DELETE,San Jose,
DELETE,Irving,
DELETE,Albany,
DELETE,Middlesex,
DELETE,Stevens Point,
DELETE,Shawnee,
DELETE,Easton,
DELETE,New York,
DELETE,Conroe,
DELETE,Columbus,
DELETE,Las Cruces,
DELETE,Ridgefield Park,
DELETE,Dunellen,
